,ticker,quarter_end,notice,total_assets,total_liabilities,intangible_assets,shareholders_equity,total_equity
0,A,31-Jul-2019,All values USD millions.,8.63B,3.88B,3.62B,4.75B,4.75B
1,AAL,30-Jun-2019,All values USD millions.,61.97B,61.99B,6.2B,(169M),(169M)
2,AAON,30-Jun-2019,All values USD millions.,342.25M,77.68M,3.62M,264.57M,264.57M
3,AAP,31-Jul-2019,All values USD millions.,11.27B,7.6B,1.51B,3.67B,3.67B
4,AAPL,30-Jun-2019,All values USD millions.,322.24B,225.78B,-,96.46B,96.46B
5,AATDF,31-Jan-2019,All values GBP millions.,1.83B,3.52B,1.33B,(1.76B),(1.76B)
6,ABBV,30-Jun-2019,All values USD millions.,57.14B,65.71B,36.1B,(8.45B),(8.45B)
7,ABC,30-Jun-2019,All values USD millions.,38.48B,35.37B,9.04B,2.99B,3.11B
8,ABEV,30-Jun-2019,All values BRL millions.,100.94B,38.01B,40.39B,61.63B,62.93B
9,ABMD,30-Jun-2019,All values USD millions.,1.13B,122.47M,48.45M,1B,1B
10,ABT,30-Jun-2019,All values USD millions.,68.43B,36.53B,41.42B,31.69B,31.89B
11,ACB,31-Mar-2019,All values CAD millions.,5.55B,1.16B,3.88B,4.39B,4.39B
12,ACN,31-May-2019,All values USD millions.,28.16B,14.01B,6.92B,13.74B,14.14B
13,ADBE,31-May-2019,All values USD millions.,19.67B,9.73B,12.62B,9.93B,9.93B
14,ADI,31-Jul-2019,All values USD millions.,21.57B,9.78B,16.59B,11.79B,11.79B
15,ADM,30-Jun-2019,All values USD millions.,42.62B,23.58B,5.55B,18.96B,19.03B
16,ADP,30-Jun-2019,All values USD millions.,41.89B,36.49B,3.39B,5.4B,5.4B
17,ADS,30-Jun-2019,All values USD millions.,30.74B,28.35B,1.16B,2.39B,2.39B
18,ADSK,31-Jul-2019,All values USD millions.,4.87B,5.07B,2.52B,(210.9M),(210.9M)
19,AEE,30-Jun-2019,All values USD millions.,28.1B,20.17B,411M,7.79B,7.93B
20,AEG,31-Dec-2018,All values EUR millions.,372.13B,352.82B,604M,19.28B,19.31B
21,AEP,30-Jun-2019,All values USD millions.,72.55B,53B,52.5M,19.26B,19.49B
22,AES,30-Jun-2019,All values USD millions.,33.24B,26.87B,1.52B,4.1B,6.36B
23,AFL,30-Jun-2019,All values USD millions.,151.4B,123.16B,-,28.24B,28.24B
24,AGESY,30-Jun-2019,All values EUR millions.,107.57B,95.18B,1.12B,10.23B,12.39B
25,AGN,30-Jun-2019,All values USD millions.,95.48B,35.78B,83.57B,59.67B,59.7B
26,AIG,30-Jun-2019,All values USD millions.,522.27B,456.16B,-,64.54B,66.11B
27,AIV,30-Jun-2019,All values USD millions.,6.24B,4.3B,-,1.76B,1.94B
28,AIZ,30-Jun-2019,All values USD millions.,43.14B,37.38B,2.9B,5.73B,5.76B
29,AJG,30-Jun-2019,All values USD millions.,19.2B,14.25B,7.25B,4.88B,4.95B
30,AKAM,30-Jun-2019,All values USD millions.,5.34B,1.95B,1.76B,3.39B,3.39B
31,ALB,30-Jun-2019,All values USD millions.,8.09B,4.12B,1.94B,3.8B,3.97B
32,ALE,30-Jun-2019,All values USD millions.,5.18B,2.97B,1.1M,2.21B,2.21B
33,ALGN,30-Jun-2019,All values USD millions.,2.35B,972.34M,78.85M,1.37B,1.37B
34,ALK,30-Jun-2019,All values USD millions.,12.95B,8.98B,2.07B,3.97B,3.97B
35,ALL,30-Jun-2019,All values USD millions.,118.37B,93.9B,2.55B,24.48B,24.48B
36,ALLE,30-Jun-2019,All values USD millions.,2.85B,2.19B,1.41B,660.5M,663.6M
37,ALO,30-Jun-2019,All values CAD millions.,444.6M,115.51M,-,329.09M,329.09M
38,ALXN,30-Jun-2019,All values USD millions.,14.57B,4.4B,8.53B,10.16B,10.16B
39,AMAT,31-Jul-2019,All values USD millions.,18.81B,10.69B,3.57B,8.12B,8.12B
40,AMCR,nan,nan,nan,nan,nan,nan,nan
41,AMCX,30-Jun-2019,All values USD millions.,5.56B,4.69B,1.35B,541.82M,871.3M
42,AMD,30-Jun-2019,All values USD millions.,5.1B,3.2B,520M,1.9B,1.9B
43,AME,30-Jun-2019,All values USD millions.,9.07B,4.4B,5.95B,4.67B,4.67B
44,AMG,30-Jun-2019,All values USD millions.,7.73B,3.17B,3.9B,3.23B,4.55B
45,AMGN,30-Jun-2019,All values USD millions.,59.37B,48.58B,21.5B,10.79B,10.79B
46,AMKR,30-Jun-2019,All values USD millions.,4.31B,2.48B,26.16M,1.81B,1.83B
47,AMP,30-Jun-2019,All values USD millions.,148.68B,142.65B,-,6.03B,6.03B
48,AMT,30-Jun-2019,All values USD millions.,39.07B,32.44B,16.45B,5.48B,6.63B
49,AMZN,30-Jun-2019,All values USD millions.,191.35B,138.29B,14.73B,53.06B,53.06B
50,ANET,30-Jun-2019,All values USD millions.,3.44B,915.73M,105.3M,2.53B,2.53B
51,ANSS,30-Jun-2019,All values USD millions.,3.51B,695.56M,2.06B,2.82B,2.82B
52,ANTM,30-Jun-2019,All values USD millions.,75.85B,45.06B,29.34B,30.79B,30.79B
53,AON,30-Jun-2019,All values USD millions.,29.81B,25.89B,9.17B,3.84B,3.91B
54,AOS,30-Jun-2019,All values USD millions.,3.18B,1.45B,891.6M,1.73B,1.73B
55,AOSL,30-Jun-2019,All values USD millions.,739.39M,296.11M,16.88M,291.02M,443.29M
56,APA,30-Jun-2019,All values USD millions.,21.81B,13.13B,-,6.55B,8.68B
57,APD,30-Jun-2019,All values USD millions.,19.53B,7.81B,1.26B,11.39B,11.73B
58,APH,30-Jun-2019,All values USD millions.,10.63B,6.43B,5.17B,4.15B,4.2B
59,APHA,31-May-2019,All values CAD millions.,2.44B,708.44M,1.06B,1.7B,1.73B
60,APTV,30-Jun-2019,All values USD millions.,13.11B,9.38B,3.82B,3.52B,3.73B
61,ARCO,30-Jun-2019,All values USD millions.,2.41B,2.03B,41.6M,379.85M,380.18M
62,ARE,30-Jun-2019,All values USD millions.,16.04B,7.63B,158.57M,7.63B,8.41B
63,ARNC,30-Jun-2019,All values USD millions.,17.91B,13.05B,5.19B,4.85B,4.87B
64,ARR,30-Jun-2019,All values USD millions.,14.92B,13.55B,-,1.38B,1.38B
65,ATO,30-Jun-2019,All values USD millions.,12.88B,7.24B,730.42M,5.64B,5.64B
66,ATVI,30-Jun-2019,All values USD millions.,17.5B,5.52B,10.49B,11.98B,11.98B
67,AUO,30-Jun-2019,All values TWD millions.,421.79B,216.77B,13.15B,192.16B,205.02B
68,AVA,30-Jun-2019,All values USD millions.,5.88B,3.99B,52.43M,1.88B,1.88B
69,AVB,30-Jun-2019,All values USD millions.,18.93B,8.18B,-,10.75B,10.75B
70,AVGO,30-Apr-2019,All values USD millions.,70.92B,48.74B,56.85B,22.17B,22.17B
71,AVH,30-Jun-2019,All values COP millions.,24.41T,22.96T,1.65T,2.11T,1.45T
72,AVY,30-Jun-2019,All values USD millions.,5.39B,4.33B,1.08B,1.06B,1.06B
73,AWK,30-Jun-2019,All values USD millions.,21.85B,15.83B,1.65B,6.03B,6.03B
74,AWR,30-Jun-2019,All values USD millions.,1.57B,988.5M,1.12M,578.79M,578.79M
75,AXP,30-Jun-2019,All values USD millions.,197.6B,174.51B,-,23.09B,23.09B
76,AZO,30-Apr-2019,All values USD millions.,9.77B,11.36B,309.55M,(1.52B),(1.52B)
77,BA,30-Jun-2019,All values USD millions.,126.26B,131.2B,11.81B,339M,410M
78,BAC,30-Jun-2019,All values USD millions.,2.4T,,70.65B,271.41B,271.41B
79,BAMXF,30-Jun-2019,All values EUR millions.,219.01B,162.04B,11.17B,56.44B,56.97B
80,BAX,30-Jun-2019,All values USD millions.,17.54B,9.71B,4.3B,7.81B,7.84B
81,BBT,30-Jun-2019,All values USD millions.,230.87B,,10.54B,31.7B,31.76B
82,BBY,31-Jul-2019,All values USD millions.,14.98B,11.69B,965M,3.29B,3.29B
83,BCE,30-Jun-2019,All values CAD millions.,60.21B,39.75B,23.91B,20.13B,20.46B
84,BCH,30-Jun-2019,All values CLP millions.,37.25T,,211.09B,3.39T,3.39T
85,BCRH,30-Jun-2019,All values USD millions.,139.5M,48.6M,-,90.9M,90.9M
86,BDX,30-Jun-2019,All values USD millions.,52.23B,30.74B,38.84B,21.5B,21.5B
87,BEN,30-Jun-2019,All values USD millions.,14.46B,3.09B,3.01B,9.91B,11.37B
88,BF.B,31-Jul-2019,All values USD millions.,5.32B,3.66B,1.41B,1.66B,1.66B
89,BHGE,30-Jun-2019,All values USD millions.,52.88B,18.1B,26.22B,17.39B,34.78B
90,BIIB,30-Jun-2019,All values USD millions.,26.29B,13.34B,9.43B,12.95B,12.95B
91,BK,30-Jun-2019,All values USD millions.,381.17B,,20.5B,41.53B,41.84B
92,BKCC,30-Jun-2019,All values USD millions.,756.73M,287.58M,-,469.15M,469.15M
93,BKE,30-Apr-2019,All values USD millions.,880.37M,482.41M,-,397.96M,397.96M
94,BKEAY,30-Jun-2019,All values HKD millions.,876.78B,,1.93B,93.26B,96.09B
95,BKNG,30-Jun-2019,All values USD millions.,21.49B,16.19B,4.96B,5.31B,5.31B
96,BLK,30-Jun-2019,All values USD millions.,163.35B,130.69B,32.99B,31.89B,32.66B
97,BLL,30-Jun-2019,All values USD millions.,17.11B,13.55B,6.54B,3.46B,3.56B
98,BLX,30-Jun-2019,All values USD millions.,6.58B,,1.42M,1B,1B
99,BMO,31-Jul-2019,All values CAD millions.,839.18B,,8.65B,50.64B,50.64B
100,BMY,30-Jun-2019,All values USD millions.,55.16B,39.01B,7.53B,16.05B,16.15B
101,BNS,31-Jul-2019,All values CAD millions.,1.07T,,17.61B,67.42B,70.13B
102,BP,30-Jun-2019,All values GBP millions.,230.35B,148.93B,21.83B,79.74B,81.42B
103,BR,30-Jun-2019,All values USD millions.,3.88B,2.75B,2.06B,1.13B,1.13B
104,BRK-A,30-Jun-2019,All values USD millions.,760.11B,373.72B,112.93B,382.54B,386.39B
105,BRK.B,30-Jun-2019,All values USD millions.,760.11B,373.72B,112.93B,382.54B,386.39B
106,BRRAY,31-Mar-2019,All values ZAR millions.,47.75B,24.62B,3.44B,22.6B,23.13B
107,BSX,30-Jun-2019,All values USD millions.,24.31B,14.88B,14.94B,9.43B,9.43B
108,BTE,30-Jun-2019,All values CAD millions.,6.22B,3.16B,-,3.06B,3.06B
109,BTLCY,31-Mar-2019,All values GBP millions.,12.26B,3.57B,10M,8.48B,8.69B
110,BWA,30-Jun-2019,All values USD millions.,10.23B,5.73B,2.27B,4.39B,4.5B
111,BXEFF,30-Jun-2019,All values CAD millions.,1.27B,545.15M,-,722.79M,722.79M
112,BXP,30-Jun-2019,All values USD millions.,21.27B,13.25B,-,5.72B,8.02B
113,BYPLF,30-Jun-2019,All values GBP millions.,1.08B,378.6M,221M,696.8M,697.6M
114,C,30-Jun-2019,All values USD millions.,1.99T,,26.58B,197.36B,198.11B
115,CACC,30-Jun-2019,All values USD millions.,6.91B,4.69B,-,2.22B,2.22B
116,CAG,31-May-2019,All values USD millions.,22.21B,14.75B,16.16B,7.38B,7.46B
117,CAH,30-Jun-2019,All values USD millions.,40.96B,34.63B,11.81B,6.33B,6.33B
118,CAJ,30-Jun-2019,All values JPY millions.,4.81T,1.91T,1.26T,2.71T,2.9T
119,CALM,31-May-2019,All values USD millions.,1.16B,166.47M,59.29M,986.62M,989.81M
120,CAT,30-Jun-2019,All values USD millions.,79.19B,64.31B,7.94B,14.84B,14.88B
121,CB,30-Jun-2019,All values USD millions.,174.52B,120.71B,21.57B,53.8B,53.8B
122,CBL,30-Jun-2019,All values USD millions.,5.05B,4.13B,-,863.81M,921.27M
123,CBOE,30-Jun-2019,All values USD millions.,5.16B,1.83B,4.36B,3.33B,3.33B
124,CBRE,30-Jun-2019,All values USD millions.,14.72B,9.33B,5B,5.35B,5.39B
125,CBS,30-Jun-2019,All values USD millions.,23.84B,19.08B,7.72B,4.75B,4.75B
126,CCI,30-Jun-2019,All values USD millions.,38.15B,26.62B,15.15B,11.52B,11.52B
127,CCL,31-May-2019,All values USD millions.,44.51B,20.41B,4.08B,24.11B,24.11B
128,CCLAY,30-Jun-2019,All values AUD millions.,6.35B,4.46B,1.26B,1.52B,1.89B
129,CCM,30-Jun-2019,All values USD millions.,657.39M,284.15M,89.79M,26.71M,373.25M
130,CCU,31-Mar-2019,All values CLP millions.,2.36T,988.29B,235.41B,1.26T,1.37T
131,CDNS,30-Jun-2019,All values USD millions.,2.61B,1.18B,860.55M,1.43B,1.43B
132,CE,30-Jun-2019,All values USD millions.,9.51B,6.25B,1.41B,2.86B,3.25B
133,CELG,30-Jun-2019,All values USD millions.,39.18B,29.13B,23.99B,10.05B,10.05B
134,CERN,30-Jun-2019,All values USD millions.,7.28B,2.56B,2.15B,4.72B,4.72B
135,CF,30-Jun-2019,All values USD millions.,12.86B,7.05B,2.46B,3.07B,5.82B
136,CFG,30-Jun-2019,All values USD millions.,162.75B,,7.04B,22.02B,22.02B
137,CGC,30-Jun-2019,All values CAD millions.,8.65B,2.75B,2.46B,5.61B,5.89B
138,CHD,30-Jun-2019,All values USD millions.,6.66B,4.06B,4.88B,2.6B,2.6B
139,CHRW,30-Jun-2019,All values USD millions.,4.68B,3.02B,1.4B,1.66B,1.66B
140,CHT,30-Jun-2019,All values TWD millions.,489.46B,121.22B,48.93B,358.58B,368.25B
141,CHTR,nan,nan,nan,nan,nan,nan,nan
142,CI,30-Jun-2019,All values USD millions.,154.4B,110.55B,82.17B,43.82B,43.85B
143,CICOY,31-Mar-2019,All values HKD millions.,299.27B,226.72B,15.63B,34.04B,72.55B
