,ticker,year,last_year,notice,revenue,revenue_ly,cogs,cogs_ly,gross_profit,gross_profit_ly,operating_expense,operating_expense_ly,operating_profit,operating_profit_ly,net_profit,net_profit_ly
0,A,2018-10-31,2017-10-31,All numbers in thousands,"4,914,000","4,472,000","2,227,000","2,063,000","2,687,000","2,409,000","3,940,000","3,589,000","974,000","883,000","316,000","684,000"
1,AAL,2018-12-31,2017-12-31,All numbers in thousands,"44,541,000","42,622,000","32,337,000","29,430,000","12,204,000","13,192,000","40,784,000","37,519,000","3,757,000","5,103,000","1,412,000","1,282,000"
2,AAON,2018-12-31,2017-12-31,All numbers in thousands,"433,947","405,232","330,414","281,835","103,533","123,397","377,236","330,360","56,711","74,872","42,572","54,498"
3,AAP,2018-12-29,2017-12-30,All numbers in thousands,"9,580,554","9,373,784","5,354,401","5,288,735","4,226,153","4,085,049","8,868,412","8,720,540","712,142","653,244","423,847","475,505"
4,AAPL,2018-09-29,2017-09-30,All numbers in thousands,"265,595,000","229,234,000","163,756,000","141,048,000","101,839,000","88,186,000","194,697,000","167,890,000","70,898,000","61,344,000","59,531,000","48,351,000"
5,AATDF,2019-01-31,2018-01-31,All numbers in thousands,"979,000","960,000","399,000","360,000","580,000","600,000","766,000","662,000","213,000","298,000","42,000","111,000"
6,ABBV,2018-12-31,2017-12-31,All numbers in thousands,"32,753,000","28,216,000","7,718,000","6,688,000","25,035,000","21,528,000","20,842,000","17,573,000","11,911,000","10,643,000","5,687,000","5,309,000"
7,ABC,2018-09-30,2017-09-30,All numbers in thousands,"167,939,635","153,143,826","163,363,256","148,599,219","4,576,379","4,544,607","166,288,683","151,125,539","1,650,952","2,018,287","1,658,405","364,484"
8,ABEV,2018-12-31,2017-12-31,Currency in BRL. All numbers in thousands,"50,231,336","47,899,276","19,269,627","18,041,778","30,961,709","29,857,498","33,228,718","31,532,397","17,002,618","16,366,879","11,024,678","7,331,968"
9,ABMD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,ABT,2018-12-31,2017-12-31,All numbers in thousands,"30,578,000","27,390,000","12,659,000","11,490,000","17,919,000","15,900,000","26,656,000","24,452,000","3,922,000","2,938,000","2,368,000","477,000"
11,ACB,2018-06-30,2017-06-30,All numbers in thousands,"55,196","18,067","11,677","2,011","43,519","16,056","135,304","27,708","-80,108","-9,641","71,936","-12,968"
12,ACN,2018-08-31,2017-08-31,All numbers in thousands,"39,573,450","34,850,182","27,130,537","23,819,690","12,442,913","11,030,492","33,732,409","29,707,780","5,841,041","5,142,402","4,059,907","3,445,149"
13,ADBE,2018-11-30,2017-12-01,All numbers in thousands,"9,030,008","7,301,505","1,194,999","1,010,491","7,835,009","6,291,014","6,189,639","5,133,410","2,840,369","2,168,095","2,590,774","1,693,954"
14,ADI,2018-11-03,2017-10-28,All numbers in thousands,"6,200,942","5,107,503","1,967,640","1,687,189","4,233,302","3,420,314","4,257,889","3,596,688","1,943,053","1,510,815","1,495,432","727,259"
15,ADM,2018-12-31,2017-12-31,All numbers in thousands,"64,341,000","60,828,000","60,160,000","57,310,000","4,181,000","3,518,000","62,417,000","59,304,000","1,924,000","1,524,000","1,810,000","1,595,000"
16,ADP,2019-06-30,2018-06-30,All numbers in thousands,"14,175,200","13,327,700","7,782,200","7,536,400","6,393,000","5,791,300","11,094,800","10,689,100","3,080,400","2,638,600","2,292,800","1,884,900"
17,ADS,2018-12-31,2017-12-31,All numbers in thousands,"7,791,200","7,719,400","5,723,900","5,798,000","2,067,300","1,921,400","6,282,800","6,363,500","1,508,400","1,355,900","963,100","788,700"
18,ADSK,2019-01-31,2018-01-31,All numbers in thousands,"2,569,800","2,056,600","270,400","287,000","2,299,400","1,769,600","2,529,600","2,451,700","40,200","-395,100","-80,800","-566,900"
19,AEE,2018-12-31,2017-12-31,All numbers in thousands,"6,009,000","5,909,000","3,214,000","3,126,000","2,795,000","2,783,000","4,582,000","4,455,000","1,427,000","1,454,000","815,000","523,000"
20,AEG,2018-12-31,2017-12-31,Currency in EUR. All numbers in thousands,"17,987,000","53,867,000","13,298,000","47,926,000","4,689,000","5,941,000","16,978,000","51,678,000","1,009,000","2,189,000","710,000","2,469,000"
21,AEP,2018-12-31,2017-12-31,All numbers in thousands,"16,195,700","15,424,900","10,013,100","8,982,600","6,182,600","6,442,300","13,317,900","11,993,700","2,877,800","3,431,200","1,923,800","1,912,600"
22,AES,2018-12-31,2017-12-31,All numbers in thousands,"10,736,000","10,530,000","8,162,000","8,043,000","2,574,000","2,487,000","8,364,000","8,259,000","2,372,000","2,271,000","1,203,000","-1,161,000"
23,AFL,2018-12-31,2017-12-31,All numbers in thousands,"21,758,000","21,667,000","14,565,000","14,629,000","7,193,000","7,038,000","17,553,000","17,409,000","4,205,000","4,258,000","2,920,000","4,604,000"
24,AGESY,2018-12-31,2017-12-31,Currency in EUR. All numbers in thousands,"11,606,000","12,519,000","8,374,800","9,482,400","3,231,200","3,036,600","10,216,100","11,340,200","1,389,900","1,178,800","809,100","623,200"
25,AGN,2018-12-31,2017-12-31,All numbers in thousands,"15,787,400","15,940,700","2,266,000","2,145,400","13,521,400","13,795,300","15,402,900","15,875,500","384,500","65,200","-5,096,400","-4,125,500"
26,AIG,2018-12-31,2017-12-31,All numbers in thousands,"47,457,000","49,550,000","36,552,000","37,852,000","10,905,000","11,698,000","45,358,000","46,546,000","2,099,000","3,004,000","-6,000","-6,084,000"
27,AIV,2018-12-31,2017-12-31,All numbers in thousands,"965,423","992,194","328,822","354,584","636,601","637,610","749,667","762,330","215,756","229,864","666,227","315,774"
28,AIZ,2018-12-31,2017-12-31,All numbers in thousands,"8,057,600","6,415,000","7,272,000","5,707,500","785,600","707,500","7,542,600","5,921,000","515,000","494,000","251,000","519,600"
29,AJG,2018-12-31,2017-12-31,All numbers in thousands,"6,711,200","6,050,900","4,789,000","4,344,300","1,922,200","1,706,600","6,080,200","5,514,300","631,000","536,600","633,500","481,300"
30,AKAM,2018-12-31,2017-12-31,All numbers in thousands,"2,714,474","2,489,035","953,485","875,837","1,760,989","1,613,198","2,281,783","2,114,489","432,691","374,546","298,373","222,766"
31,ALB,2018-12-31,2017-12-31,All numbers in thousands,"3,374,950","3,071,976","2,140,194","1,911,305","1,234,756","1,160,671","2,621,184","2,409,957","753,766","662,019","693,562","54,850"
32,ALE,2018-12-31,2017-12-31,All numbers in thousands,"1,498,600","1,419,300","1,034,000","959,700","464,600","459,600","1,288,900","1,189,600","209,700","229,700","174,100","172,200"
33,ALGN,2018-12-31,2017-12-31,All numbers in thousands,"1,966,492","1,473,413","518,625","356,466","1,447,867","1,116,947","1,499,928","1,119,802","466,564","353,611","400,235","231,418"
34,ALK,2018-12-31,2017-12-31,All numbers in thousands,"8,264,000","7,894,000","6,058,000","5,170,000","2,206,000","2,724,000","7,467,000","6,577,000","797,000","1,317,000","437,000","960,000"
35,ALL,2018-12-31,2017-12-31,All numbers in thousands,"39,815,000","39,407,000","30,688,000","29,326,000","9,127,000","10,081,000","36,662,000","34,867,000","3,153,000","4,540,000","2,252,000","3,189,000"
36,ALLE,2018-12-31,2017-12-31,All numbers in thousands,"2,731,700","2,408,200","1,558,400","1,335,300","1,173,300","1,072,900","2,193,100","1,915,300","538,600","492,900","434,900","273,300"
37,ALO,2018-12-31,2017-12-31,All numbers in thousands,"104,527","105,162","110,863","74,459","-6,336","30,703","106,715","84,809","-2,188","20,353","-14,044","11,898"
38,ALXN,2018-12-31,2017-12-31,All numbers in thousands,"4,131,200","3,551,100","368,500","302,100","3,762,700","3,249,000","2,511,300","2,567,800","1,619,900","983,300","77,600","443,300"
