,ticker,quarter_end,notice,revenue,gross_profit,operating_profit,net_income
0,A,07-2019,(Values in U.S. thousands),"1,274,000","692,000","225,000","$191,000"
1,AAL,06-2019,(Values in U.S. thousands),"11,960,000","3,435,000","1,153,000","$662,000"
2,AAON,06-2019,(Values in U.S. thousands),"119,437","30,175","16,688","$12,961"
3,AAP,06-2019,(Values in U.S. thousands),"2,332,246","1,009,438","170,772","$124,820"
4,AAPL,06-2019,(Values in U.S. thousands),"53,809,000","20,227,000","11,544,000","$10,044,000"
5,AATDF,nan,nan,nan,nan,nan,nan
6,ABBV,06-2019,(Values in U.S. thousands),"8,255,000","6,436,000","3,400,000","$741,000"
7,ABC,06-2019,(Values in U.S. thousands),"45,239,270","1,231,239","406,694","$301,959"
8,ABEV,06-2019,(Values in U.S. thousands),"3,099,429","1,833,306","905,501","$643,283"
9,ABMD,06-2019,(Values in U.S. thousands),"207,666","170,593","60,725","$88,923"
10,ABT,06-2019,(Values in U.S. thousands),"7,979,000","4,700,000","1,206,000","$1,006,000"
11,ACB,03-2019,(Values in U.S. thousands),"49,009","39,588","-58,391","$-119,130"
12,ACN,05-2019,(Values in U.S. thousands),"11,099,690","3,528,298","1,717,943","$1,249,516"
13,ADBE,05-2019,(Values in U.S. thousands),"2,744,280","2,336,792","749,547","$632,593"
14,ADI,07-2019,(Values in U.S. thousands),"1,480,143","997,811","446,726","$362,374"
15,ADM,06-2019,(Values in U.S. thousands),"16,297,000","972,000","370,000","$235,000"
16,ADP,06-2019,(Values in U.S. thousands),"3,498,700","1,478,200","623,400","$475,500"
17,ADS,06-2019,(Values in U.S. thousands),"1,348,500","693,700","337,300","$136,600"
18,ADSK,04-2019,(Values in U.S. thousands),"735,500","652,800","24,800","$-24,200"
19,AEE,06-2019,(Values in U.S. thousands),"1,379,000","652,800","280,000","$179,000"
20,AEG,06-2018,(Values in U.S. thousands),0,"652,800","280,000",$N/A
21,AEP,06-2019,(Values in U.S. thousands),"3,573,600","652,800","551,000","$461,300"
22,AES,06-2019,(Values in U.S. thousands),"2,483,000","652,800","118,000","$17,000"
23,AFL,06-2019,(Values in U.S. thousands),"5,511,000","652,800","118,000","$817,000"
24,AGESY,12-2018,(Values in U.S. thousands),"3,122,933","652,800","118,000","$171,023"
25,AGN,06-2019,(Values in U.S. thousands),"4,090,100","3,437,800","-1,262,900","$-1,759,000"
26,AIG,06-2019,(Values in U.S. thousands),"12,561,000","3,437,800","-1,262,900","$1,109,000"
27,AIV,06-2019,(Values in U.S. thousands),"224,200","3,437,800","40,104","$64,459"
28,AIZ,06-2019,(Values in U.S. thousands),"2,545,500","3,437,800","40,104","$144,100"
29,AJG,06-2019,(Values in U.S. thousands),"1,657,800","559,500","150,400","$110,100"
30,AKAM,06-2019,(Values in U.S. thousands),"705,074","462,881","135,782","$113,915"
31,ALB,06-2019,(Values in U.S. thousands),"885,052","325,914","185,737","$154,198"
32,ALE,06-2019,(Values in U.S. thousands),"290,400","186,000","36,200","$34,200"
33,ALGN,06-2019,(Values in U.S. thousands),"600,697","432,289","176,490","$147,142"
34,ALK,06-2019,(Values in U.S. thousands),"2,288,000","432,289","364,000","$262,000"
35,ALL,06-2019,(Values in U.S. thousands),"11,144,000","432,289","364,000","$851,000"
36,ALLE,06-2019,(Values in U.S. thousands),"731,200","320,700","145,700","$109,300"
37,ALO,06-2019,(Values in U.S. thousands),"28,457",147,"-1,860","$-3,830"
38,ALXN,06-2019,(Values in U.S. thousands),"1,203,300","1,104,100","532,600","$459,800"
39,AMAT,07-2019,(Values in U.S. thousands),"3,562,000","1,557,000","802,000","$571,000"
40,AMCR,06-2019,(Values in U.S. thousands),0,N/A,N/A,$N/A
41,AMCX,06-2019,(Values in U.S. thousands),"772,299","386,676","170,257","$128,743"
42,AMD,06-2019,(Values in U.S. thousands),"1,531,000","621,000","59,000","$35,000"
43,AME,06-2019,(Values in U.S. thousands),"1,289,412","451,259","295,410","$215,503"
44,AMG,06-2019,(Values in U.S. thousands),"591,900","451,259","199,000","$107,700"
45,AMGN,06-2019,(Values in U.S. thousands),"5,871,000","4,859,000","2,678,000","$2,179,000"
46,AMKR,06-2019,(Values in U.S. thousands),"895,305","123,454","22,510","$-9,450"
47,AMP,06-2019,(Values in U.S. thousands),"3,245,000","123,454","646,000","$492,000"
48,AMT,06-2019,(Values in U.S. thousands),"1,889,600","123,454","683,900","$429,100"
49,AMZN,06-2019,(Values in U.S. thousands),"63,404,000","27,067,000","3,084,000","$2,625,000"
50,ANET,06-2019,(Values in U.S. thousands),"608,321","390,191","206,837","$189,251"
51,ANSS,06-2019,(Values in U.S. thousands),"368,635","328,138","128,628","$109,750"
52,ANTM,06-2019,(Values in U.S. thousands),"25,466,000","5,000,000","1,637,000","$1,139,000"
53,AON,06-2019,(Values in U.S. thousands),"2,606,000","5,000,000","1,637,000","$277,000"
54,AOS,06-2019,(Values in U.S. thousands),"765,400","308,700","130,000","$102,100"
55,AOSL,06-2019,(Values in U.S. thousands),"111,856","27,636",-958,"$2,545"
56,APA,06-2019,(Values in U.S. thousands),"1,603,000","27,636","-152,000","$-360,000"
57,APD,06-2019,(Values in U.S. thousands),"2,224,000","758,000","569,700","$488,000"
58,APH,06-2019,(Values in U.S. thousands),"2,015,300","647,600","399,500","$288,400"
59,APHA,05-2019,(Values in U.S. thousands),"2,015,300","647,600","399,500",$N/A
60,APTV,06-2019,(Values in U.S. thousands),"3,627,000","669,000","335,000","$274,000"
61,ARCO,06-2019,(Values in U.S. thousands),"721,025","78,271","26,868","$10,977"
62,ARE,06-2019,(Values in U.S. thousands),"373,856","78,271","107,296","$78,767"
63,ARNC,06-2019,(Values in U.S. thousands),"3,691,000","752,000","-81,000","$-121,000"
64,ARR,06-2019,(Values in U.S. thousands),"128,360","752,000","118,785","$-183,250"
65,ATO,06-2019,(Values in U.S. thousands),"485,738","752,000","122,202","$80,466"
66,ATVI,06-2019,(Values in U.S. thousands),"1,396,000","963,000","336,000","$328,000"
67,AUO,06-2019,(Values in U.S. thousands),"2,259,000","64,000","-110,000","$-86,000"
68,AVA,06-2019,(Values in U.S. thousands),"300,812","64,000","39,768","$25,319"
