,ticker,ratings
0,A,Strong Buy
1,AAL,Moderate Buy
2,AAON,Strong Sell
3,AAP,Moderate Buy
4,AAPL,Moderate Buy
5,AATDF,Moderate Sell
6,ABBV,Moderate Buy
7,ABC,Moderate Buy
8,ABEV,Hold
9,ABMD,Moderate Buy
10,ABT,Strong Buy
11,ACB,Moderate Buy
12,ACN,Strong Buy
13,ADBE,Moderate Buy
14,ADI,Moderate Buy
15,ADM,Strong Buy
16,ADP,Moderate Buy
17,ADS,Moderate Buy
18,ADSK,Moderate Buy
19,AEE,Moderate Buy
20,AEG,Hold
21,AEP,Moderate Buy
22,AES,Moderate Buy
23,AFL,Hold
24,AGESY,Moderate Buy
25,AGN,Moderate Buy
26,AIG,Moderate Buy
27,AIV,Moderate Buy
28,AIZ,Strong Buy
29,AJG,Moderate Buy
30,AKAM,Moderate Buy
31,ALB,Moderate Buy
32,ALE,Moderate Sell
33,ALGN,Moderate Buy
34,ALK,Moderate Buy
35,ALL,Moderate Buy
36,ALLE,Moderate Buy
37,ALO,Moderate Sell
38,ALXN,Moderate Buy
39,AMAT,Moderate Buy
40,AMCR,Hold
41,AMCX,Moderate Buy
42,AMD,Moderate Buy
43,AME,Strong Buy
44,AMG,Moderate Buy
45,AMGN,Moderate Buy
46,AMKR,Hold
47,AMP,Strong Buy
48,AMT,Moderate Buy
49,AMZN,Strong Buy
50,ANET,Moderate Buy
51,ANSS,Moderate Buy
52,ANTM,Strong Buy
53,AON,Moderate Buy
54,AOS,Moderate Buy
55,AOSL,Moderate Buy
56,APA,Hold
57,APD,Moderate Buy
58,APH,Strong Buy
59,APHA,Moderate Buy
60,APTV,Moderate Buy
61,ARCO,Moderate Buy
62,ARE,Moderate Buy
63,ARNC,Moderate Buy
64,ARR,Hold
65,ATO,Strong Buy
66,ATVI,Moderate Buy
67,AUO,Moderate Sell
68,AVA,Moderate Sell
69,AVB,Moderate Buy
70,AVGO,Strong Buy
71,AVH,Hold
72,AVY,Moderate Buy
73,AWK,Moderate Buy
74,AWR,Moderate Sell
75,AXP,Moderate Buy
76,AZO,Moderate Buy
77,BA,Moderate Buy
78,BAC,Moderate Buy
79,BAMXF,Moderate Sell
80,BAX,Moderate Buy
81,BBT,Moderate Buy
82,BBY,Moderate Buy
83,BCE,Moderate Buy
84,BCH,Hold
85,BCRH,No Ratings
86,BDX,Strong Buy
87,BEN,Moderate Sell
88,BF.B,Hold
89,BHGE,Strong Buy
90,BIIB,Hold
91,BK,Hold
92,BKCC,Moderate Sell
93,BKE,Strong Sell
94,BKEAY,Moderate Sell
95,BKNG,Moderate Buy
96,BLK,Strong Buy
97,BLL,Moderate Buy
98,BLX,Strong Sell
99,BMO,Hold
100,BMY,Moderate Buy
101,BNS,Moderate Buy
102,BP,Moderate Buy
103,BR,Hold
104,BRK-A,Strong Buy
105,BRK.B,Moderate Buy
106,BRRAY,Moderate Sell
107,BSX,Strong Buy
108,BTE,Strong Buy
109,BTLCY,Moderate Sell
110,BWA,Moderate Buy
111,BXEFF,No Ratings
112,BXP,Moderate Buy
113,BYPLF,Hold
114,C,Strong Buy
115,CACC,Hold
