,ticker,company,sector
12,A,Agilent Technologies Inc,Health Care
31,AAL,American Airlines Group,Industrials
137,AAON,"AAON, Inc.",Basic Materials
8,AAP,Advance Auto Parts,Consumer Discretionary
49,AAPL,Apple Inc.,Information Technology
138,AATDF,AA plc,Consumer Cyclical
2,ABBV,AbbVie Inc.,Health Care
38,ABC,AmerisourceBergen Corp,Health Care
139,ABEV,Ambev S.A.,Consumer Defensive
3,ABMD,ABIOMED Inc,Health Care
1,ABT,Abbott Laboratories,Health Care
17,ACB,Aurora Cannabis Inc.,Healthcare
4,ACN,Accenture plc,Information Technology
6,ADBE,Adobe Systems Inc,Information Technology
42,ADI,"Analog Devices, Inc.",Information Technology
52,ADM,Archer-Daniels-Midland Co,Consumer Staples
60,ADP,Automatic Data Processing,Information Technology
22,ADS,Alliance Data Systems,Information Technology
59,ADSK,Autodesk Inc.,Information Technology
30,AEE,Ameren Corp,Utilities
293,AEG,Aegon N.V.,Financial Services
32,AEP,American Electric Power,Utilities
9,AES,AES Corp,Utilities
11,AFL,AFLAC Inc,Financials
140,AGESY,ageas SA/NV,Financial Services
21,AGN,"Allergan, Plc",Health Care
34,AIG,American International Group,Financials
48,AIV,Apartment Investment & Management,Real Estate
56,AIZ,Assurant,Financials
55,AJG,Arthur J. Gallagher & Co.,Financials
14,AKAM,Akamai Technologies Inc,Information Technology
16,ALB,Albemarle Corp,Materials
141,ALE,"ALLETE, Inc.",Utilities
19,ALGN,Align Technology,Health Care
15,ALK,Alaska Air Group Inc,Industrials
24,ALL,Allstate Corp,Financials
20,ALLE,Allegion,Industrials
142,ALO,Alio Gold Inc.,Basic Materials
18,ALXN,Alexion Pharmaceuticals,Health Care
50,AMAT,Applied Materials Inc.,Information Technology
29,AMCR,Amcor plc,Materials
330,AMCX,AMC Networks Inc.,Consumer Cyclical
7,AMD,Advanced Micro Devices Inc,Information Technology
39,AME,AMETEK Inc.,Industrials
10,AMG,Affiliated Managers Group Inc,Financials
40,AMGN,Amgen Inc.,Health Care
318,AMKR,"Amkor Technology, Inc.",Technology
37,AMP,Ameriprise Financial,Financials
35,AMT,American Tower Corp.,Real Estate
28,AMZN,Amazon.com Inc.,Consumer Discretionary
54,ANET,Arista Networks,Information Technology
43,ANSS,ANSYS,Information Technology
44,ANTM,Anthem,Health Care
45,AON,Aon plc,Financials
46,AOS,A.O. Smith Corp,Industrials
143,AOSL,Alpha and Omega Semiconductor Limited,Technology
47,APA,Apache Corporation,Energy
13,APD,Air Products & Chemicals Inc,Materials
41,APH,Amphenol Corp,Information Technology
18,APHA,Aphria Inc.,Healthcare
51,APTV,Aptiv Plc,Consumer Discretionary
144,ARCO,Arcos Dorados Holdings Inc.,Consumer Cyclical
17,ARE,Alexandria Real Estate Equities,Real Estate
53,ARNC,Arconic Inc.,Industrials
294,ARR,"ARMOUR Residential REIT, Inc.",Real Estate
57,ATO,Atmos Energy Corp,Utilities
5,ATVI,Activision Blizzard,Communication Services
145,AUO,AU Optronics Corp.,Technology
146,AVA,Avista Corporation,Utilities
62,AVB,"AvalonBay Communities, Inc.",Real Estate
82,AVGO,Broadcom Inc.,Information Technology
147,AVH,Avianca Holdings S.A.,Industrials
63,AVY,Avery Dennison Corp,Materials
36,AWK,American Water Works Company Inc,Utilities
148,AWR,American States Water Company,Utilities
33,AXP,American Express Co,Financials
61,AZO,AutoZone Inc,Consumer Discretionary
76,BA,Boeing Company,Industrials
66,BAC,Bank of America Corp,Financials
149,BAMXF,Bayerische Motoren Werke Aktiengesellschaft,Consumer Cyclical
68,BAX,Baxter International Inc.,Health Care
69,BBT,BB&T Corporation,Financials
72,BBY,Best Buy Co. Inc.,Consumer Discretionary
131,BCE,BCE Inc.,Communication Services
150,BCH,Banco de Chile,Financial Services
151,BCRH,Blue Capital Reinsurance Holdings Ltd.,Financial Services
70,BDX,Becton Dickinson,Health Care
210,BEN,Franklin Resources,Financials
84,BF.B,Brown-Forman Corp.,Consumer Staples
64,BHGE,"Baker Hughes, a GE Company",Energy
73,BIIB,Biogen Inc.,Health Care
67,BK,The Bank of New York Mellon Corp.,Financials
153,BKCC,BlackRock Capital Investment Corporation,Financial Services
154,BKE,"The Buckle, Inc.",Consumer Cyclical
