,ticker,shares_outstanding
0,A,315990000.0
1,AAL,445270000.0
2,AAON,52120000.0
3,AAP,71740000.0
4,AAPL,4600000000.0
5,AATDF,528530000.0
6,ABBV,1480000000.0
7,ABC,210180000.0
8,ABEV,15730000000.0
9,ABMD,45280000.0
10,ABT,1760000000.0
11,ACB,976670000.0
12,ACN,637140000.0
13,ADBE,485440000.0
14,ADI,369760000.0
15,ADM,560170000.0
16,ADP,434200000.0
17,ADS,51100000.0
18,ADSK,219620000.0
19,AEE,245600000.0
20,AEG,2100000000.0
21,AEP,493800000.0
22,AES,663730000.0
23,AFL,740380000.0
24,AGESY,198370000.0
25,AGN,327820000.0
26,AIG,869750000.0
27,AIV,148830000.0
28,AIZ,61480000.0
29,AJG,186070000.0
30,AKAM,164100000.0
31,ALB,105960000.0
32,ALE,51620000.0
33,ALGN,80010000.0
34,ALK,123340000.0
35,ALL,333110000.0
36,ALLE,93380000.0
37,ALO,81390000.0
38,ALXN,224230000.0
39,AMAT,936110000.0
40,AMCR,1910000000.0
41,AMCX,45330000.0
42,AMD,1080000000.0
43,AME,227840000.0
44,AMG,51200000.0
45,AMGN,609940000.0
46,AMKR,239630000.0
47,AMP,133900000.0
48,AMT,442020000.0
49,AMZN,494660000.0
50,ANET,76620000.0
51,ANSS,83930000.0
52,ANTM,255820000.0
53,AON,235840000.0
54,AOS,141140000.0
55,AOSL,24290000.0
56,APA,375920000.0
57,APD,220360000.0
58,APH,297450000.0
59,APHA,231590000.0
60,APTV,257839999.99999997
61,ARCO,123610000.0
62,ARE,113420000.0
63,ARNC,441000000.0
64,ARR,59190000.0
65,ATO,116990000.0
66,ATVI,766010000.0
67,AUO,962420000.0
68,AVA,65750000.0
69,AVB,139400000.0
70,AVGO,398070000.0
71,AVH,42560000.0
72,AVY,84420000.0
73,AWK,180520000.0
74,AWR,36800000.0
75,AXP,829670000.0
76,AZO,24530000.0
77,BA,562710000.0
78,BAC,9310000000.0
79,BAMXF,320430000.0
80,BAX,510170000.0
81,BBT,766010000.0
82,BBY,267040000.00000003
83,BCE,899460000.0
84,BCH,505090000.0
85,BCRH,8760000.0
86,BDX,269730000.0
87,BEN,503670000.0
88,BF.B,308490000.0
89,BHGE,515620000.0
90,BIIB,184450000.0
91,BK,942660000.0
92,BKCC,68840000.0
93,BKE,49230000.0
94,BKEAY,2900000000.0
95,BKNG,43290000.0
96,BLK,155370000.0
97,BLL,334740000.0
98,BLX,30950000.0
99,BMO,638300000.0
100,BMY,1640000000.0
101,BNS,1220000000.0
102,BP,3400000000.0
103,BR,116140000.0
104,BRK-A,723000.0
105,BRK.B,1370000000.0
106,BRRAY,212690000.0
107,BSX,1390000000.0
108,BTE,546190000.0
109,BTLCY,935680000.0
110,BWA,206520000.0
111,BXEFF,40750000.0
112,BXP,154510000.0
113,BYPLF,186700000.0
114,C,2260000000.0
115,CACC,18800000.0
116,CAG,486130000.0
117,CAH,298060000.0
118,CAJ,1330000000.0
119,CALM,43890000.0
120,CAT,571880000.0
121,CB,457870000.0
122,CBL,173480000.0
123,CBOE,111710000.0
124,CBRE,336280000.0
125,CBS,351950000.0
126,CCI,416000000.0
127,CCL,526850000.0
128,CCLAY,724000000.0
129,CCM,28130000.0
130,CCU,184750000.0
131,CDNS,280150000.0
132,CE,123740000.0
133,CELG,708740000.0
134,CERN,318390000.0
135,CF,221080000.0
136,CFG,457900000.0
137,CGC,216040000.0
138,CHD,246220000.0
139,CHRW,136560000.0
140,CHT,775740000.0
141,CHTR,221480000.0
142,CI,379460000.0
143,CICOY,2450000000.0
144,CINF,163340000.0
145,CIT,94750000.0
146,CL,858010000.0
147,CLNE,204650000.0
148,CLX,127370000.0
149,CM,445260000.0
150,CMA,149800000.0
151,CMCM,43740000.0
152,CMCSA,4600000000.0
153,CME,357970000.0
154,CMG,27720000.0
155,CMI,157790000.0
156,CMO,85610000.0
157,CMS,283790000.0
158,CNC,413610000.0
159,CNP,502170000.0
160,CNQ,1160000000.0
161,CNS,47230000.0
162,COF,470330000.0
163,COG,418390000.0
164,COO,49490000.0
165,COP,1110000000.0
166,COST,439790000.0
167,COTY,751400000.0
168,CPB,301150000.0
169,CPRI,150940000.0
170,CPRT,229110000.0
171,CPSI,14360000.0
172,CRM,778880000.0
173,CRON,175570000.0
174,CSCO,4280000000.0000005
175,CSIOY,25900000.0
176,CSTE,34370000.0
177,CSX,798180000.0
178,CTAS,102490000.0
179,CTL,1090000000.0
180,CTSH,569280000.0
181,CTST,88400000.0
182,CTVA,748820000.0
183,CTWS,12060000.0
184,CTXS,131650000.0
185,CVE,1230000000.0
186,CVS,1300000000.0
187,CVX,1900000000.0
188,CXO,200590000.0
189,CYH,118060000.0
190,CYOU,18130000.0
191,D,802360000.0
192,DAL,650200000.0
193,DB,1820000000.0
194,DCOM,35890000.0
195,DD,748800000.0
196,DDS,21730000.0
197,DE,317000000.0
198,DF,91740000.0
199,DFIN,34200000.0
200,DFS,323730000.0
201,DG,258320000.0
202,DGX,134670000.0
203,DHI,369820000.0
204,DHR,717370000.0
205,DIIBF,26120000.0
206,DIS,1800000000.0
207,DISCA,157850000.0
208,DISCK,360550000.0
209,DISH,231530000.0
210,DLR,208280000.0
211,DLTR,237580000.0
212,DO,137690000.0
213,DOV,145440000.0
214,DOW,743210000.0
215,DRE,359430000.0
216,DRI,123080000.0
217,DTE,183300000.0
218,DTEGY,4760000000.0
219,DUK,728050000.0
220,DVA,160260000.0
221,DVN,415200000.0
222,DXC,266440000.0
223,EA,296360000.0
224,EBAY,838760000.0
225,EC,2060000000.0
226,ECA,1340000000.0
227,ECL,288240000.0
228,ED,327100000.0
229,EDN,22110000.0
230,EFX,120880000.0
231,EIGI,145960000.0
232,EIX,325810000.0
233,EL,219270000.0
234,ELP,128300000.00000001
235,EMN,137000000.0
236,EMR,614620000.0
237,ENB,2020000000.0
238,ENQUF,1330000000.0
239,ENT,92370000.0
240,EOG,580330000.0
241,EQIX,84070000.0
242,EQR,370540000.0
243,ES,321100000.0
244,ESALY,296570000.0
245,ESS,65730000.00000001
246,ETFC,240020000.0
247,ETN,420000000.0
248,ETR,189920000.0
249,EVRG,244100000.0
250,EVRZF,451340000.0
251,EW,207970000.0
252,EXC,970960000.0
253,EXPD,172000000.0
254,EXPE,157480000.0
255,EXR,127450000.0
256,F,3920000000.0
257,FANG,164670000.0
258,FANUY,2040000000.0
259,FAST,573430000.0
260,FB,2410000000.0
261,FBHS,139880000.0
262,FCX,1450000000.0
263,FDX,260810000.0
264,FE,532090000.00000006
265,FFIV,60130000.0
266,FGP,97150000.0
267,FIS,323840000.0
268,FISV,679690000.0
269,FITB,732100000.0
270,FIZZ,46650000.0
271,FLIR,135420000.0
272,FLS,131139999.99999999
273,FLT,86190000.0
274,FMC,131660000.0
275,FOX,266170000.00000003
276,FOXA,354350000.0
277,FRC,167540000.0
278,FRT,74910000.0
279,FTI,448060000.0
280,FTNT,170760000.0
281,FTV,335530000.0
282,GD,288840000.0
283,GE,8720000000.0
284,GEF,26270000.0
285,GFI,828630000.0
286,GGAL,114550000.0
287,GHL,21060000.0
288,GILD,1270000000.0
289,GIS,601960000.0
290,GL,109940000.0
291,GLAD,29350000.0
292,GLAPY,59210000.0
293,GLP,34000000.0
294,GLW,784750000.0
295,GM,1420000000.0
296,GOOG,347350000.0
297,GOOGL,299530000.0
298,GPC,146080000.0
299,GPN,156680000.0
300,GPS,377970000.0
301,GRMN,189850000.0
302,GS,365840000.0
303,GSH,28630000.0
304,GTX,74580000.0
305,GWW,54570000.0
306,HAL,875930000.0
307,HAS,125850000.0
308,HBAN,1040000000.0
309,HBI,361470000.0
310,HCA,342310000.0
311,HCP,477980000.0
312,HD,1100000000.0
313,HE,108940000.0
314,HES,303440000.0
315,HFC,170770000.0
316,HI,62670000.0
317,HIG,361500000.0
318,HII,41550000.0
319,HLT,286860000.0
320,HMSNF,722630000.0
321,HOG,159070000.0
322,HOLX,268050000.0
323,HON,719510000.0
324,HP,109430000.0
325,HPE,1340000000.0
326,HPQ,1510000000.0
327,HRB,201960000.0
328,HRL,533850000.0
329,HRZN,11520000.0
330,HSBC,4059999999.9999995
331,HSIC,149070000.0
332,HSNGY,1910000000.0
333,HST,740890000.0
334,HSY,148970000.0
335,HUM,135040000.0
336,IBM,886640000.0
337,ICE,563870000.0
338,IDA,50390000.0
339,IDXX,86010000.0
340,IEP,196240000.0
341,IEX,75850000.0
342,IFF,106690000.0
343,ILMN,147000000.0
344,IMO,236940000.0
345,INCY,215070000.0
346,INFO,401050000.0
347,INTC,4430000000.0
348,INTU,259240000.0
349,INVA,101280000.0
350,IP,397330000.0
351,IPG,387220000.0
352,IPGP,53140000.0
353,IQV,195900000.0
354,IR,241160000.0
355,IRM,286880000.0
356,IRS,57870000.0
357,ISEE,41480000.0
358,ISRG,115250000.0
359,IT,90140000.0
360,ITW,325780000.0
361,IVZ,469790000.0
362,JBHT,106770000.0
363,JCI,898070000.0
364,JCP,316820000.0
365,JDWPY,21020000.0
366,JEC,136610000.0
367,JEF,300000000.0
368,JFEEF,423510000.0
369,JKHY,77200000.0
370,JNJ,2640000000.0
371,JNPR,344330000.0
372,JPM,3240000000.0
373,JWN,154650000.0
374,K,340500000.0
375,KB,418110000.0
376,KEY,1000000000.0
377,KEYS,188170000.0
378,KGFHY,1060000000.0
379,KHC,1220000000.0
380,KIM,422100000.0
381,KKPNF,3520000000.0
382,KLAC,161620000.0
383,KMB,344200000.0
384,KMI,2260000000.0
385,KMX,165590000.0
386,KO,4280000000.0000005
387,KR,798800000.0
388,KSS,162030000.0
389,KSU,100590000.0
390,KUBTY,246510000.0
391,KYOCY,377620000.0
392,L,304890000.0
393,LB,276340000.0
394,LDOS,143810000.0
395,LEG,131400000.0
396,LEN,284400000.0
397,LGRVF,260620000.0
398,LH,98500000.0
399,LHX,221410000.0
400,LIN,542770000.0
401,LKQ,309700000.0
402,LLY,970830000.0
403,LMT,282400000.0
404,LN,240880000.0
405,LNC,202340000.0
406,LNT,236300000.0
407,LOW,782920000.0
408,LPL,715630000.0
409,LRCX,149930000.0
410,LSGOF,730280000.0
411,LTRPA,72150000.0
412,LUV,537520000.0
413,LW,146070000.0
414,LYB,335240000.0
415,M,308870000.0
416,MA,1000000000.0
417,MAA,114000000.0
418,MAC,141240000.0
419,MAR,332990000.0
420,MAS,289460000.0
421,MAXR,58380000.0
422,MBNKF,144270000.0
423,MCD,763560000.0
424,MCHP,238040000.0
425,MCK,186380000.0
426,MCO,189600000.0
427,MCY,55360000.0
428,MDLZ,1440000000.0
429,MDOMF,46790000.0
430,MDT,1340000000.0
431,MET,950370000.0
432,MGI,56390000.0
433,MGM,526330000.00000006
434,MHK,72420000.0
435,MHVYF,288750000.0
436,MKC,123050000.0
437,MKTX,37760000.0
438,MLM,62400000.0
439,MMC,507000000.0
440,MMM,575280000.0
441,MN,15650000.0
442,MNST,543580000.0
443,MO,1870000000.0
444,MOS,385790000.0
445,MPC,662640000.0
446,MRK,2570000000.0
447,MRO,817920000.0
448,MS,1660000000.0
449,MSC,60450000.0
450,MSCI,84680000.0
451,MSFT,7640000000.0
452,MSI,164790000.0
453,MTB,134199999.99999999
454,MTD,24800000.0
455,MTL,208140000.0
456,MU,1100000000.0
457,MURGY,1440000000.0
458,MXIM,272430000.0
459,MYL,515870000.0
460,NBL,478230000.0
461,NCLH,215400000.0
462,NDAQ,165710000.0
463,NEE,479100000.0
464,NEM,819890000.0
465,NEU,11190000.0
466,NFLX,437840000.0
467,NI,373100000.0
468,NILSY,1580000000.0
469,NINOY,400880000.0
470,NKE,1250000000.0
471,NKTR,174310000.0
472,NLNK,37280000.0
473,NLSN,355490000.0
474,NM,12990000.0
475,NOC,169200000.0
476,NOV,385900000.0
477,NPCPF,320710000.0
478,NRG,267149999.99999997
479,NSC,263410000.00000003
480,NTAP,240020000.0
481,NTRS,214890000.0
482,NUE,303160000.0
483,NVDA,609000000.0
484,NWBI,106620000.0
485,NWE,50440000.0
486,NWL,423100000.0
487,NWS,199630000.0
488,NWSA,385530000.0
489,O,316470000.0
490,OBE,63300000.0
491,ODP,546280000.0
492,OGE,200180000.0
493,OGS,52740000.0
494,OKE,412740000.0
495,OMC,217520000.0
496,OMI,62940000.0
497,ORCL,3340000000.0
498,ORLY,76510000.0
499,OTTR,39760000.0
500,OXY,894480000.0
501,PAHC,20290000.0
502,PAYX,359350000.0
503,PBCT,398540000.0
504,PCAR,346300000.0
505,PEG,505640000.0
506,PEP,1400000000.0
507,PETS,20180000.0
508,PFE,5550000000.0
509,PFG,278600000.0
510,PG,2500000000.0
511,PGR,584100000.0
512,PH,128289999.99999999
513,PHI,216060000.0
514,PHM,274220000.0
515,PIR,4260000.0
516,PKG,94490000.0
517,PKI,110920000.0
518,PLD,631130000.0
519,PM,1560000000.0
520,PMTS,11160000.0
521,PNC,447000000.0
522,PNM,79650000.0
523,PNR,168050000.0
524,PNW,112280000.0
525,POR,89360000.0
526,PPG,236290000.0
527,PPL,721740000.0
528,PRGO,135990000.0
529,PRU,406000000.0
530,PSA,174600000.0
531,PSEC,366970000.0
532,PSX,449000000.0
533,PTR,210990000.0
534,PUBGY,961480000.0
535,PVH,74910000.0
536,PWR,142080000.0
537,PXD,168420000.0
538,PYPL,1180000000.0
539,QCOM,1220000000.0
540,QIWI,48880000.0
541,QRVO,118050000.0
542,RAD,53810000.0
543,RANJY,366610000.0
544,RBGLY,3550000000.0
545,RCI,356290000.0
546,RCL,209560000.0
547,RDCM,13740000.0
548,RDY,166050000.0
549,RE,40740000.0
550,RECN,31850000.0
551,REG,167110000.0
552,REGN,107730000.0
553,RF,1000000000.0
554,RHI,118480000.0
555,RIBT,34190000.0
556,RJF,139700000.0
557,RL,51900000.0
558,RLGY,114210000.0
559,RMD,143390000.0
560,RNDB,5890000.0
561,RNSHF,34090000.0
562,ROK,117010000.0
563,ROL,327490000.0
564,ROP,103840000.0
565,ROST,364700000.0
566,RSG,320750000.0
567,RTN,278530000.0
568,RY,1430000000.0
569,RYB,21660000.0
570,RYCEY,1920000000.0
571,SAGKF,399020000.0
572,SAPMF,552360000.0
573,SBAC,113090000.0
574,SBH,120580000.0
575,SBS,683510000.0
576,SBUX,1210000000.0
577,SCBFF,2650000000.0
578,SCGLY,4240000000.0
579,SCHN,26580000.0
580,SCHW,1340000000.0
581,SCMWY,518020000.0
582,SEE,155700000.0
583,SFUN,65360000.0
584,SHI,34950000.0
585,SHLO,23760000.0
586,SHW,92260000.0
587,SID,1390000000.0
588,SIVB,51560000.0
589,SJM,114040000.0
590,SJR,454420000.0
591,SKFRY,422620000.0
592,SLB,1380000000.0
593,SLG,82410000.0
594,SMGZY,395960000.0
595,SNA,55210000.0
596,SNH,237730000.0
597,SNPS,149900000.0
598,SNPTF,670090000.0
599,SO,1040000000.0
600,SOCLF,252210000.0
601,SOGO,112600000.0
602,SPG,320440000.0
603,SPGI,246080000.0
604,SPKKY,367240000.0
605,SRE,274410000.0
606,SRLP,22730000.0
607,SSTK,35220000.0
608,SSYS,54340000.0
609,STI,443860000.0
610,STT,372580000.0
611,STX,276840000.0
612,STZ,167240000.0
613,SU,1560000000.0
614,SVCBY,637750000.0
615,SWK,151740000.0
616,SWKS,172690000.0
617,SYF,663440000.0
618,SYK,373110000.0
619,SYMC,617530000.0
620,SYY,513980000.0
621,T,7310000000.0
622,TAP,196190000.0
623,TBAKF,28670000.0
624,TBNK,9670000.0
625,TCS,49230000.0
626,TD,1820000000.0
627,TDG,53180000.0
628,TECD,36490000.0
629,TEDU,45870000.0
630,TEL,335940000.0
631,TFX,46150000.0
632,TGH,57400000.0
633,TGS,77860000.0
634,TGT,512330000.00000006
635,TIF,121410000.0
636,TINLY,197950000.0
637,TJX,1210000000.0
638,TLRY,80560000.0
639,TMNSF,60800000.0
640,TMO,399980000.0
641,TMUS,854460000.0
642,TOO,410400000.0
643,TOT,2670000000.0
644,TPR,290140000.0
645,TRIP,126230000.0
646,TRMK,64400000.00000001
647,TROW,235570000.0
648,TRV,260390000.0
649,TSCO,120640000.0
650,TSLA,179130000.0
651,TSN,294800000.0
652,TSS,176990000.0
653,TTWO,113180000.0
654,TU,601100000.0
655,TUP,48740000.0
656,TVFCF,101350000.0
657,TWTR,768630000.0
658,TXN,933620000.0
659,TXT,230120000.0
660,UA,228550000.0
661,UAA,188020000.0
662,UAL,256920000.00000003
663,UDR,281790000.0
664,UHS,82880000.0
665,ULTA,58460000.0
666,UNH,950340000.0
667,UNIT,192830000.0
668,UNM,208630000.0
669,UNP,704530000.0
670,UPS,698340000.0
671,URI,77160000.0
672,USB,1580000000.0
673,UTI,25500000.0
674,UTL,14920000.0
675,UTX,862830000.0
676,V,1730000000.0
677,VAR,90950000.0
678,VEDL,929300000.0
679,VFC,397160000.0
680,VIAB,353640000.0
681,VIOT,30070000.0
682,VIVO,42630000.0
683,VLEEY,482070000.0
684,VLO,417240000.0
685,VMC,132289999.99999999
686,VNO,190810000.0
687,VRSK,163670000.0
688,VRSN,118370000.0
689,VRTX,256120000.0
690,VSI,23990000.0
691,VTR,372590000.0
692,VZ,4139999999.9999995
693,WAB,188120000.0
694,WAT,66760000.00000001
695,WBA,903140000.0
696,WCG,50310000.0
697,WDC,293000000.0
698,WEC,315440000.0
699,WELL,404940000.0
700,WFC,4420000000.0
701,WHR,63530000.0
702,WINMQ,43000000.0
703,WLTW,129240000.00000001
704,WM,424230000.0
705,WMB,1210000000.0
706,WMT,2850000000.0
707,WOPEY,936150000.0
708,WPG,186590000.0
709,WRK,257040000.00000003
710,WRLD,9040000.0
711,WTKWY,269900000.0
712,WU,430710000.0
713,WY,744930000.0
714,WYNN,107660000.0
715,XEC,101430000.0
716,XEL,514669999.99999994
717,XLNX,252610000.0
718,XOM,4230000000.0000005
719,XRAY,233980000.0
720,XRF,59470000.0
721,XRX,220790000.0
722,XYL,179930000.0
723,YUM,305980000.0
724,Z,140630000.0
725,ZBH,204800000.0
726,ZION,176940000.0
727,ZTS,478660000.0
